                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1173,                 0.6722,                  1.044,                0.81534,                0.77031,                0.86228,                0.57458,                0.97138,                0.57313,                0.99574,               0.006634,               0.006634,               0.006634
                     36,                 1.0704,                0.64933,                  1.041,                0.86584,                0.84314,                0.91219,                 0.6167,                0.96864,                0.56817,                   1.01,               0.006535,               0.006535,               0.006535
                     37,                 1.0377,                0.63006,                 1.0193,                 0.8551,                0.76471,                0.86238,                0.56307,                0.98271,                0.59206,                  1.018,               0.006436,               0.006436,               0.006436
                     38,                   1.05,                0.63361,                 1.0245,                0.87968,                0.79869,                0.87807,                0.59487,                0.93376,                0.59573,                0.99041,               0.006337,               0.006337,               0.006337
                     39,                 1.0271,                0.62134,                 1.0394,                0.86851,                 0.7956,                0.87401,                0.58471,                 1.0108,                0.57355,                  1.035,               0.006238,               0.006238,               0.006238
                     40,                 1.0256,                0.62369,                 1.0227,                0.88255,                 0.8209,                0.89981,                0.60233,                 0.9955,                0.58459,                  1.028,               0.006139,               0.006139,               0.006139
                     41,                  1.056,                0.63168,                 1.0277,                0.84957,                0.82265,                0.89097,                0.58889,                  0.971,                0.57519,                  1.015,                0.00604,                0.00604,                0.00604
                     42,                 1.0196,                0.61563,                 1.0231,                0.83476,                0.83489,                0.88978,                0.57694,                 1.0017,                0.57757,                 1.0437,               0.005941,               0.005941,               0.005941
                     43,                  1.042,                0.62686,                 1.0209,                 0.8663,                0.82633,                0.90223,                0.59171,                0.98685,                0.55786,                 1.0265,               0.005842,               0.005842,               0.005842
                     44,                 1.0464,                 0.6259,                 1.0309,                0.83044,                0.80952,                0.87264,                0.57811,                0.96467,                0.55052,                0.99797,               0.005743,               0.005743,               0.005743
                     45,                 1.0087,                0.60517,                 1.0217,                0.87279,                0.86483,                0.91642,                0.64741,                0.91166,                0.53169,                0.98404,               0.005644,               0.005644,               0.005644
                     46,                 1.0356,                 0.6243,                  1.014,                 0.8167,                0.82369,                0.88328,                0.58786,                  0.982,                0.57833,                 1.0167,               0.005545,               0.005545,               0.005545
                     47,                 1.0113,                0.60842,                 1.0218,                0.85926,                0.78992,                0.88773,                0.59096,                 0.9694,                0.54976,                 1.0036,               0.005446,               0.005446,               0.005446
                     48,                0.99965,                0.58867,                  1.019,                0.89226,                0.85434,                0.91896,                0.62906,                0.94237,                0.52755,                0.99215,               0.005347,               0.005347,               0.005347
