                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4218,                 4.6914,                 1.3608,                 0.2996,                0.06553,                0.02168,                0.01508,                 1.1337,                 3.6711,                 1.1814,               0.070122,              0.0033197,              0.0033197
                      1,                 1.3334,                 3.7989,                 1.3022,                0.34309,                0.10239,                0.05945,                0.04141,                 1.1756,                 3.2398,                 1.2738,               0.040057,              0.0065872,              0.0065872
                      2,                 1.3731,                 3.4364,                 1.3078,                0.29891,                0.15845,                 0.0804,                0.05854,                 1.1867,                 3.0358,                 1.2349,              0.0099247,              0.0097887,              0.0097887
                      3,                 1.3961,                  3.303,                 1.3261,                0.30817,                0.19584,                 0.1137,                0.07928,                 1.1405,                  2.742,                 1.2182,               0.009703,               0.009703,               0.009703
                      4,                 1.3722,                  3.105,                 1.3229,                0.34504,                0.19644,                0.13212,                0.09141,                 1.1096,                 2.6414,                 1.1951,               0.009703,               0.009703,               0.009703
                      5,                 1.3301,                 2.9893,                 1.2962,                0.32581,                0.22205,                0.16366,                0.11402,                 1.1201,                 2.4865,                 1.2172,               0.009604,               0.009604,               0.009604
                      6,                 1.3096,                 2.8631,                 1.2777,                0.51238,                0.22591,                0.20761,                0.15119,                 1.0433,                 2.3344,                 1.1645,               0.009505,               0.009505,               0.009505
                      7,                 1.2886,                 2.7864,                 1.2622,                0.38107,                0.26102,                0.23492,                0.17533,                0.99142,                 2.3538,                  1.131,               0.009406,               0.009406,               0.009406
                      8,                 1.2621,                 2.6896,                 1.2511,                0.26822,                0.28772,                0.23844,                0.18337,                0.99674,                 2.1923,                 1.1301,               0.009307,               0.009307,               0.009307
                      9,                 1.2475,                 2.5957,                 1.2358,                0.25369,                0.37511,                0.27265,                0.20935,                0.99555,                 2.1561,                 1.1191,               0.009208,               0.009208,               0.009208
                     10,                 1.2047,                 2.5299,                 1.2211,                0.35604,                0.33471,                0.29442,                0.23171,                0.95367,                 2.0797,                 1.1024,               0.009109,               0.009109,               0.009109
                     11,                 1.2123,                 2.4518,                 1.2193,                0.19013,                0.46175,                0.30285,                0.23439,                0.94569,                 1.9837,                 1.0877,                0.00901,                0.00901,                0.00901
                     12,                  1.194,                 2.4295,                 1.2113,                0.27406,                0.43541,                0.33417,                0.25604,                0.97949,                 1.9953,                 1.1064,               0.008911,               0.008911,               0.008911
                     13,                 1.1751,                 2.3478,                 1.1963,                 0.3787,                0.42415,                0.36974,                0.28966,                0.91963,                 1.8998,                 1.0751,               0.008812,               0.008812,               0.008812
                     14,                 1.1694,                 2.2716,                 1.1998,                0.24533,                0.48985,                0.37042,                0.29146,                0.90908,                 1.8425,                 1.0673,               0.008713,               0.008713,               0.008713
                     15,                 1.1522,                 2.2307,                 1.1837,                0.30696,                 0.5154,                0.36876,                0.29325,                  0.894,                 1.8158,                 1.0624,               0.008614,               0.008614,               0.008614
                     16,                 1.1465,                 2.1912,                   1.18,                0.33739,                0.54812,                0.40967,                0.32356,                0.92295,                 1.7801,                 1.0764,               0.008515,               0.008515,               0.008515
                     17,                 1.1366,                 2.1223,                 1.1632,                0.50536,                0.45936,                0.42012,                0.32892,                0.89627,                 1.7227,                  1.062,               0.008416,               0.008416,               0.008416
                     18,                 1.1092,                   2.08,                 1.1608,                 0.3452,                0.53659,                 0.4628,                0.36144,                 0.9034,                 1.6889,                  1.061,               0.008317,               0.008317,               0.008317
                     19,                 1.1061,                 2.0405,                 1.1558,                0.43024,                0.45058,                0.44159,                0.35181,                 0.8787,                 1.6505,                 1.0502,               0.008218,               0.008218,               0.008218
                     20,                 1.1109,                  2.036,                 1.1643,                0.42368,                0.47629,                 0.4691,                0.36841,                0.84853,                 1.5925,                 1.0314,               0.008119,               0.008119,               0.008119
                     21,                 1.0997,                 1.9779,                 1.1485,                0.41051,                0.53197,                0.48188,                0.38696,                0.85106,                 1.5709,                 1.0328,                0.00802,                0.00802,                0.00802
                     22,                 1.0852,                 1.9337,                 1.1499,                 0.4265,                0.52458,                0.50075,                0.40737,                0.83138,                 1.5636,                  1.033,               0.007921,               0.007921,               0.007921
                     23,                 1.0954,                 1.9098,                 1.1496,                0.40218,                0.52735,                0.48969,                0.39204,                 0.8535,                 1.5569,                  1.024,               0.007822,               0.007822,               0.007822
                     24,                 1.0875,                 1.8691,                 1.1456,                0.58101,                 0.4641,                0.50847,                0.41218,                0.83233,                 1.4787,                  1.021,               0.007723,               0.007723,               0.007723
                     25,                 1.0483,                 1.8124,                 1.1295,                0.50099,                0.55262,                0.55345,                0.44431,                 0.8201,                 1.4401,                 1.0179,               0.007624,               0.007624,               0.007624
                     26,                 1.0625,                 1.7983,                 1.1319,                0.53974,                0.52063,                0.55885,                0.45179,                0.81386,                 1.4571,                 1.0163,               0.007525,               0.007525,               0.007525
                     27,                 1.0507,                 1.7667,                 1.1216,                0.45092,                0.61036,                0.56712,                0.45856,                0.82081,                 1.4378,                 1.0139,               0.007426,               0.007426,               0.007426
                     28,                 1.0482,                 1.7674,                 1.1252,                0.55449,                0.51259,                0.53249,                0.42728,                0.80692,                  1.408,                  1.009,               0.007327,               0.007327,               0.007327
                     29,                 1.0324,                 1.7257,                 1.1272,                0.54365,                0.50985,                0.55273,                0.45033,                 0.8036,                  1.409,                 1.0068,               0.007228,               0.007228,               0.007228
                     30,                 1.0407,                 1.7268,                 1.1224,                0.49544,                0.60872,                0.59392,                0.48107,                 0.8028,                 1.3791,                  1.005,               0.007129,               0.007129,               0.007129
                     31,                 1.0228,                 1.6976,                 1.1225,                0.46421,                0.63675,                0.57599,                0.47156,                0.79336,                 1.3493,                 1.0035,                0.00703,                0.00703,                0.00703
                     32,                 1.0125,                 1.6484,                 1.1067,                0.52583,                0.56988,                 0.5801,                0.47646,                0.78803,                 1.3284,                0.99488,               0.006931,               0.006931,               0.006931
                     33,                 1.0223,                  1.635,                 1.1154,                0.47552,                0.60629,                0.58285,                0.48171,                0.78738,                  1.334,                 1.0032,               0.006832,               0.006832,               0.006832
                     34,                 1.0069,                 1.6261,                  1.107,                0.56346,                0.54364,                0.59397,                0.49038,                0.77474,                  1.361,                0.99759,               0.006733,               0.006733,               0.006733
                     35,                 1.0074,                 1.6159,                   1.11,                0.56873,                0.58086,                0.59864,                0.49294,                0.78224,                 1.2984,                0.99271,               0.006634,               0.006634,               0.006634
                     36,                0.99845,                 1.5909,                 1.1115,                0.47307,                0.63302,                0.60969,                0.50592,                0.77908,                 1.2746,                0.98693,               0.006535,               0.006535,               0.006535
                     37,                 1.0021,                  1.582,                 1.0987,                0.57503,                0.59088,                0.64174,                0.53656,                0.76414,                 1.2488,                 0.9802,               0.006436,               0.006436,               0.006436
                     38,                0.98402,                 1.5438,                 1.0951,                0.58488,                 0.6023,                0.64256,                0.53152,                0.76649,                 1.2211,                0.98448,               0.006337,               0.006337,               0.006337
                     39,                0.98189,                 1.5334,                 1.0956,                0.54615,                0.65839,                0.67199,                0.55885,                0.74846,                 1.2105,                0.98204,               0.006238,               0.006238,               0.006238
                     40,                0.97538,                 1.5076,                 1.0901,                0.65652,                0.61588,                 0.6696,                0.55227,                0.74503,                 1.1748,                0.97542,               0.006139,               0.006139,               0.006139
                     41,                0.96985,                 1.5038,                 1.0842,                0.63139,                0.63074,                0.68688,                0.57175,                0.74198,                 1.1444,                0.97631,                0.00604,                0.00604,                0.00604
                     42,                0.97336,                 1.4909,                 1.0842,                0.63861,                0.60595,                0.69648,                0.57567,                0.75673,                 1.1606,                0.97904,               0.005941,               0.005941,               0.005941
                     43,                 0.9727,                 1.4701,                 1.0942,                 0.6068,                0.64881,                0.69348,                0.58625,                0.74328,                 1.1245,                0.97886,               0.005842,               0.005842,               0.005842
                     44,                0.97054,                 1.4563,                 1.0843,                0.62303,                0.67185,                0.70047,                 0.5887,                0.73581,                 1.1334,                0.97353,               0.005743,               0.005743,               0.005743
                     45,                0.95696,                 1.4286,                 1.0675,                0.64452,                0.62587,                0.69185,                 0.5841,                0.72059,                 1.1267,                 0.9635,               0.005644,               0.005644,               0.005644
                     46,                0.96075,                 1.4432,                 1.0758,                 0.6117,                0.69386,                0.71679,                0.60559,                0.72951,                 1.1052,                0.96271,               0.005545,               0.005545,               0.005545
                     47,                0.95901,                 1.4083,                 1.0783,                0.64814,                0.66945,                0.70782,                0.59755,                0.72893,                  1.104,                0.96434,               0.005446,               0.005446,               0.005446
                     48,                0.94996,                 1.4182,                 1.0795,                0.72391,                0.63918,                0.72838,                0.61633,                0.71943,                 1.0854,                0.96224,               0.005347,               0.005347,               0.005347
                     49,                 0.9307,                 1.3716,                 1.0726,                0.72894,                0.60919,                0.71635,                0.60329,                0.72423,                  1.064,                0.95904,               0.005248,               0.005248,               0.005248
                     50,                0.93427,                 1.3762,                 1.0763,                0.68715,                0.67703,                0.73352,                0.62182,                 0.7135,                 1.0296,                 0.9603,               0.005149,               0.005149,               0.005149
                     51,                0.94249,                 1.3681,                 1.0762,                0.63105,                0.72002,                0.72339,                 0.6133,                 0.7098,                 1.0679,                0.95503,                0.00505,                0.00505,                0.00505
                     52,                 0.9284,                  1.349,                 1.0682,                0.71747,                0.65087,                0.72353,                0.61009,                0.70761,                 1.0781,                0.96241,               0.004951,               0.004951,               0.004951
                     53,                0.91694,                 1.3233,                 1.0656,                0.58666,                0.75627,                 0.7352,                0.62026,                0.70816,                 1.0458,                0.95355,               0.004852,               0.004852,               0.004852
                     54,                0.93428,                 1.3162,                 1.0649,                0.71269,                0.67738,                0.75201,                0.63792,                0.70327,                 1.0332,                0.95223,               0.004753,               0.004753,               0.004753
                     55,                 0.9217,                 1.3059,                 1.0632,                0.68417,                0.70086,                0.75599,                0.64488,                0.69776,                 1.0313,                0.95066,               0.004654,               0.004654,               0.004654
