                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.91361,                 1.3199,                 1.0602,                0.78008,                0.66166,                0.76024,                0.64794,                0.70374,                 1.0034,                0.95409,               0.004555,               0.004555,               0.004555
                     57,                0.92272,                 1.3159,                 1.0636,                0.72701,                0.68332,                0.75597,                0.65132,                0.68383,                 1.0278,                0.94931,               0.004456,               0.004456,               0.004456
                     58,                0.90067,                  1.257,                 1.0555,                0.68924,                0.71651,                 0.7648,                0.64666,                0.69183,                 1.0051,                0.94332,               0.004357,               0.004357,               0.004357
                     59,                0.91704,                 1.2824,                 1.0643,                0.67081,                0.71847,                0.74987,                0.63918,                0.70007,                0.98686,                0.94936,               0.004258,               0.004258,               0.004258
                     60,                0.88259,                 1.2473,                 1.0489,                0.70662,                0.71745,                0.77338,                0.65803,                0.68708,                0.95799,                0.94327,               0.004159,               0.004159,               0.004159
                     61,                0.89527,                 1.2424,                 1.0481,                0.74514,                0.70763,                 0.7762,                0.66598,                0.68768,                0.96492,                0.94935,                0.00406,                0.00406,                0.00406
                     62,                0.89369,                 1.2455,                  1.045,                0.70167,                0.74683,                0.77586,                0.66133,                 0.6797,                0.94416,                0.94161,               0.003961,               0.003961,               0.003961
                     63,                0.90974,                 1.2407,                 1.0552,                0.79529,                0.67386,                0.78583,                 0.6794,                0.66295,                0.92705,                 0.9371,               0.003862,               0.003862,               0.003862
                     64,                0.88211,                 1.2014,                 1.0474,                0.72356,                0.72996,                0.78808,                0.67273,                0.66847,                 0.9383,                0.93975,               0.003763,               0.003763,               0.003763
                     65,                0.87825,                 1.2101,                 1.0424,                0.67603,                0.76373,                0.78598,                 0.6773,                 0.6628,                0.90396,                0.93678,               0.003664,               0.003664,               0.003664
                     66,                0.87676,                  1.195,                 1.0441,                0.78114,                0.70708,                0.79641,                0.69077,                0.66025,                0.89479,                0.93541,               0.003565,               0.003565,               0.003565
                     67,                0.86674,                 1.1827,                 1.0422,                0.70951,                0.75027,                0.78822,                0.68168,                0.66617,                0.92801,                0.93704,               0.003466,               0.003466,               0.003466
                     68,                0.85981,                 1.1546,                 1.0367,                0.78265,                0.73638,                0.80747,                0.69579,                0.66102,                0.86732,                0.93508,               0.003367,               0.003367,               0.003367
                     69,                 0.8823,                 1.1655,                 1.0447,                0.75877,                 0.7275,                0.79678,                0.68543,                0.65429,                0.89736,                0.92815,               0.003268,               0.003268,               0.003268
                     70,                0.86606,                 1.1514,                 1.0349,                 0.7565,                0.71905,                0.80101,                0.69152,                0.65569,                0.89427,                0.93337,               0.003169,               0.003169,               0.003169
                     71,                0.87466,                 1.1739,                 1.0416,                0.74837,                 0.7871,                0.82364,                0.71124,                0.64547,                0.84793,                0.92516,                0.00307,                0.00307,                0.00307
                     72,                 0.8585,                 1.1353,                  1.033,                0.79213,                0.72503,                0.79396,                0.68692,                0.64705,                0.86149,                0.92416,               0.002971,               0.002971,               0.002971
                     73,                0.84944,                 1.1049,                 1.0282,                   0.74,                0.78699,                0.81464,                0.70135,                0.65091,                0.86184,                0.92703,               0.002872,               0.002872,               0.002872
                     74,                0.86963,                 1.1157,                 1.0307,                0.76631,                0.76932,                0.81275,                0.69881,                0.64918,                0.85977,                0.92521,               0.002773,               0.002773,               0.002773
                     75,                0.85054,                 1.1347,                 1.0307,                0.76617,                0.73813,                0.81022,                0.70332,                0.64208,                0.85111,                0.92308,               0.002674,               0.002674,               0.002674
                     76,                0.86091,                 1.1122,                 1.0367,                0.73187,                0.75619,                0.81224,                0.70281,                0.63674,                0.85108,                0.92179,               0.002575,               0.002575,               0.002575
                     77,                0.85526,                 1.0932,                 1.0247,                0.78016,                 0.7551,                0.82658,                  0.713,                0.64825,                0.83798,                0.92496,               0.002476,               0.002476,               0.002476
                     78,                0.85329,                 1.0924,                 1.0278,                0.78536,                0.75769,                0.82651,                0.71768,                0.63842,                0.84368,                0.92086,               0.002377,               0.002377,               0.002377
                     79,                0.84358,                 1.0834,                 1.0243,                0.75629,                0.78171,                0.83157,                0.72588,                0.63534,                0.83261,                0.91766,               0.002278,               0.002278,               0.002278
                     80,                0.83146,                  1.088,                 1.0239,                0.76448,                0.78616,                0.83375,                0.72579,                0.62879,                0.81874,                0.91868,               0.002179,               0.002179,               0.002179
                     81,                0.83281,                 1.0556,                 1.0229,                 0.8597,                0.71729,                0.84404,                0.73559,                0.62572,                0.80407,                0.91795,                0.00208,                0.00208,                0.00208
                     82,                0.82277,                 1.0577,                 1.0171,                0.78489,                0.79516,                0.84116,                0.73567,                0.62077,                0.78595,                 0.9143,               0.001981,               0.001981,               0.001981
                     83,                0.82268,                 1.0366,                 1.0192,                0.74665,                0.79387,                0.84027,                0.73283,                0.62294,                 0.7976,                0.91682,               0.001882,               0.001882,               0.001882
                     84,                0.81411,                 1.0292,                 1.0112,                0.81498,                0.77765,                0.84088,                0.73476,                0.61889,                0.78432,                0.91541,               0.001783,               0.001783,               0.001783
                     85,                0.81174,                 1.0249,                 1.0173,                0.80941,                0.75673,                0.84429,                0.73571,                0.61858,                0.78871,                0.91388,               0.001684,               0.001684,               0.001684
                     86,                 0.8025,                 1.0153,                  1.014,                0.82724,                0.74482,                0.84074,                0.73593,                0.61592,                0.77131,                0.91166,               0.001585,               0.001585,               0.001585
                     87,                0.80564,                 1.0042,                 1.0104,                0.80454,                0.76772,                0.84289,                 0.7399,                 0.6114,                0.76757,                0.91184,               0.001486,               0.001486,               0.001486
                     88,                0.81496,                  1.021,                 1.0157,                0.82139,                0.77179,                0.85317,                0.74824,                0.60757,                0.74597,                0.90984,               0.001387,               0.001387,               0.001387
                     89,                0.80342,                0.99044,                 1.0103,                0.84146,                0.77126,                0.85252,                0.74621,                0.61043,                0.75917,                 0.9096,               0.001288,               0.001288,               0.001288
                     90,                0.80665,                 1.0096,                 1.0089,                0.85128,                0.76266,                0.85584,                0.75327,                0.61086,                0.75096,                0.90615,               0.001189,               0.001189,               0.001189
                     91,                0.79773,                0.97267,                 1.0019,                0.76771,                0.81975,                0.85838,                0.75333,                0.60821,                0.74334,                0.90677,                0.00109,                0.00109,                0.00109
                     92,                0.79709,                0.98822,                 1.0096,                0.83811,                0.76673,                0.85967,                0.75662,                0.61141,                0.74908,                0.90611,               0.000991,               0.000991,               0.000991
                     93,                0.79334,                0.96659,                 1.0102,                0.73629,                0.84884,                0.86114,                0.75549,                0.60389,                0.74234,                0.90502,               0.000892,               0.000892,               0.000892
                     94,                0.79688,                 0.9777,                 1.0036,                0.87804,                 0.7533,                0.86165,                0.75791,                0.60202,                0.73986,                0.90503,               0.000793,               0.000793,               0.000793
                     95,                0.79095,                0.98346,                  1.009,                0.74491,                0.83169,                0.86342,                0.76029,                0.59958,                0.73592,                0.90589,               0.000694,               0.000694,               0.000694
                     96,                0.78598,                0.95731,                 1.0078,                0.77507,                0.83124,                0.86487,                0.76411,                0.59645,                0.73515,                 0.9026,               0.000595,               0.000595,               0.000595
                     97,                0.77512,                0.95442,                 1.0024,                0.77834,                0.83219,                 0.8637,                0.76389,                0.59657,                0.72967,                0.90312,               0.000496,               0.000496,               0.000496
                     98,                0.77672,                0.94029,                0.99767,                0.81786,                0.78386,                0.86519,                0.76548,                0.58738,                0.72212,                0.90017,               0.000397,               0.000397,               0.000397
                     99,                 0.7396,                0.89623,                0.98826,                0.78644,                0.81789,                0.86442,                0.76452,                0.59104,                0.71923,                0.90008,               0.000298,               0.000298,               0.000298
