size,preprocess,inference,postprocess,total,total_remote
640,12.3,7.7,26.4,0.15,4.4
784,12.5,8.3,29.2,0.15,4.0
880,13.1,9.2,29.7,0.15,4.6
1280,14.2,9.6,32.7,0.16,4.8
